TICKER,SECTOR,INDUSTRY
BRK-B,Financial Services,Insurance—Diversified
CRSR,Technology,Computer Hardware
KOAN,Healthcare,Drug Manufacturers—Specialty & Generic
EQHA,Financial Services,Shell Companies
BRX,Real Estate,REIT—Retail
ASH,Basic Materials,Specialty Chemicals
TARS,Healthcare,Biotechnology
CRBP,Healthcare,Biotechnology
VVI,Industrials,Specialty Business Services
KMT,Industrials,Tools & Accessories
PNNT,Financial Services,Asset Management
NINK,Basic Materials,Other Industrial Metals & Mining
CR,Industrials,Specialty Industrial Machinery
PRLB,Industrials,Metal Fabrication
OCC,Technology,Communication Equipment
BELFA,Technology,Electronic Components
TTC,Industrials,Tools & Accessories
MGYR,Financial Services,Banks—Regional
VTOL,Energy,Oil & Gas Equipment & Services
SLNH,Technology,Scientific & Technical Instruments
TERN,Healthcare,Biotechnology
HXL,Industrials,Aerospace & Defense
UBFO,Financial Services,Banks—Regional
NRSAX,Fund,
IIM,Financial Services,Asset Management
HP,Energy,Oil & Gas Drilling
MPV,Financial Services,Asset Management
LHC,Financial Services,Shell Companies
GFF,Industrials,Conglomerates
PTON,Consumer Cyclical,Leisure
STRN,Communication Services,Advertising Agencies
VAL,Energy,Oil & Gas Equipment & Services
DNIF,Financial Services,Asset Management
TTEC,Technology,Information Technology Services
RDNT,Healthcare,Diagnostics & Research
KRUS,Consumer Cyclical,Restaurants
CRWD,Technology,Software—Infrastructure
HYPR,Healthcare,Medical Devices
PRDS,Healthcare,Biotechnology
AMPG,Technology,Communication Equipment
CBFV,Financial Services,Banks—Regional
CHCT,Real Estate,REIT—Healthcare Facilities
CLCN,Consumer Defensive,Education & Training Services
NHWK,Healthcare,Biotechnology
HESM,Energy,Oil & Gas Midstream
ADAP,Healthcare,Biotechnology
STRI,Technology,Semiconductor Equipment & Materials
NTRB,Healthcare,Biotechnology
FDMT,Healthcare,Biotechnology
CRVL,Financial Services,Insurance Brokers
KAL,Consumer Defensive,Farm Products
PNM,Utilities,Utilities—Regulated Electric
ASTC,Industrials,Aerospace & Defense
SHQA,Financial Services,Shell Companies
ACI,Consumer Defensive,Grocery Stores
HCII,Financial Services,Shell Companies
DECK,Consumer Cyclical,Footwear & Accessories
LANC,Consumer Defensive,Packaged Foods
CNRLX,Fund,
MTCR,Healthcare,Biotechnology
SILO,Healthcare,Biotechnology
PBH,Healthcare,Medical Distribution
USER,Technology,Software—Application
YTPG,Financial Services,Shell Companies
LFST,Healthcare,Medical Care Facilities
IGC,Industrials,Conglomerates
CGEM,Healthcare,Biotechnology
POSH,Consumer Cyclical,Internet Retail
TEX,Industrials,Farm & Heavy Construction Machinery
CEMI,Healthcare,Diagnostics & Research
BE,Industrials,Electrical Equipment & Parts
ANVS,Healthcare,Biotechnology
TKR,Industrials,Tools & Accessories
CFFN,Financial Services,Banks—Regional
CALA,Healthcare,Biotechnology
